#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	144	0	0	0	0	0	0	144
1	23	69	33	1	9	0	0	144
2	15	64	22	1	21	0	0	144
3	8	58	22	0	27	1	0	144
4	6	49	21	0	33	1	0	144
5	7	44	14	1	38	1	0	144
6	7	38	13	0	41	2	0	144
7	3	39	5	1	46	2	0	144
8	6	34	2	2	48	2	0	144
9	7	25	4	2	50	3	0	144
10	8	21	3	0	53	3	0	144
11	4	20	5	1	54	3	0	144
12	3	18	5	0	56	3	0	144
13	2	20	3	1	56	3	0	144
14	2	19	2	1	57	3	0	144
15	5	14	3	0	58	3	0	144
16	4	13	2	1	58	4	0	144
17	7	12	0	1	58	4	0	144
18	2	14	3	1	58	4	0	144
19	2	15	4	1	57	4	0	144
20	1	14	2	1	59	4	0	144
21	2	14	2	0	59	4	0	144
22	1	12	3	2	58	5	0	144
23	3	13	4	2	55	6	0	144
24	1	13	3	3	56	6	0	144
25	1	13	2	2	57	6	0	144
26	3	13	3	1	55	7	0	144
27	2	12	3	1	56	7	0	144
28	0	12	4	0	57	7	0	144
29	0	11	1	0	59	7	0	144
30	1	9	1	1	59	7	0	144
31	2	7	1	0	60	7	0	144
32	0	6	4	0	60	7	0	144
33	2	4	2	2	60	7	0	144
34	0	5	0	1	62	7	0	144
35	0	4	2	2	61	7	0	144
36	2	5	0	1	61	7	0	144
37	0	4	3	1	61	7	0	144
38	0	4	2	2	61	7	0	144
39	1	3	1	3	61	7	0	144
40	0	3	0	3	62	7	0	144
41	0	3	0	3	62	7	0	144
42	0	3	0	3	62	7	0	144
43	1	3	1	3	61	7	0	144
44	0	4	2	2	61	7	0	144
45	1	2	2	1	61	8	0	144
46	0	3	1	2	61	8	0	144
47	0	3	0	3	59	10	0	144
48	2	3	2	3	57	10	0	144
49	1	4	2	3	57	10	0	144
50	1	4	3	4	56	10	0	144
51	0	4	3	3	57	10	0	144
52	0	4	2	2	58	10	0	144
53	1	3	2	2	58	10	0	144
54	0	5	1	2	58	10	0	144
55	0	5	0	1	59	10	0	144
56	2	4	1	1	58	10	0	144
57	0	5	1	2	58	10	0	144
58	2	4	2	2	57	10	0	144
59	0	5	2	1	56	12	0	144
60	0	4	2	2	56	12	0	144
70	0	5	1	2	56	12	0	144
80	2	7	0	1	51	15	1	142
90	0	5	2	1	50	17	1	142
100	0	6	1	1	46	20	2	140
110	0	1	0	3	47	21	2	140
120	0	2	0	2	47	21	2	140
130	0	2	1	3	43	24	2	140
140	1	2	2	3	41	25	2	140
150	0	6	1	1	40	25	3	138
160	0	2	0	2	41	26	3	138
170	0	1	1	2	40	27	3	138
180	0	1	0	1	37	31	3	138
190	1	1	0	4	31	35	3	138
200	0	0	1	1	33	35	3	138
210	0	0	0	2	31	37	3	138
220	1	5	0	2	27	38	3	138
230	3	1	1	1	27	39	3	138
240	0	3	1	4	26	39	3	138
250	0	3	1	4	26	39	3	138
260	0	1	1	2	26	41	3	138
270	0	0	0	2	27	41	3	138
280	0	0	0	2	26	40	5	134
290	0	2	1	1	22	43	5	134
300	0	5	0	3	19	43	6	132
310	0	0	1	1	19	45	7	130
320	0	1	0	3	17	46	7	130
330	0	2	0	4	14	48	7	130
340	1	1	0	2	14	49	7	130
350	0	1	0	3	14	48	8	128
360	1	0	0	3	14	48	8	128
370	0	1	0	3	14	47	9	126
380	0	1	1	4	12	47	10	124
390	0	0	0	2	14	47	10	124
400	0	1	0	3	13	47	10	124
410	0	2	0	2	13	47	10	124
420	0	1	0	3	13	47	10	124
430	0	1	0	3	12	48	10	124
440	0	0	1	5	9	50	10	124
450	0	0	1	3	10	50	10	124
460	0	2	0	2	9	51	10	124
470	0	1	1	4	8	50	11	122
480	0	1	0	5	8	50	11	122
490	0	1	2	5	6	50	12	120
500	0	3	0	5	5	49	14	116
510	0	0	0	4	7	49	14	116
520	0	1	0	3	7	48	15	114
530	1	0	0	3	7	47	16	112
540	0	0	0	2	7	48	16	112
550	0	0	0	2	7	47	17	110
560	0	0	0	2	7	47	17	110
570	0	0	0	2	7	46	18	108
580	0	0	0	2	7	45	19	106
590	0	0	0	2	7	45	19	106
600	0	0	0	2	7	45	19	106
660	0	1	0	3	6	41	23	98
720	0	0	1	3	3	41	26	92
780	0	0	0	2	4	39	28	88
840	0	0	0	2	3	36	32	80
900	0	0	0	2	3	35	33	78
960	2	0	0	2	1	35	34	76
1020	0	0	0	2	0	34	37	70
1080	0	0	0	0	1	30	41	62
1140	0	0	0	0	0	29	43	58
1200	0	0	0	0	0	29	43	58
1260	0	0	0	0	0	25	47	50
1320	0	0	0	0	0	23	49	46
1380	0	0	0	0	0	21	51	42
1440	0	0	0	0	0	21	51	42
1500	0	0	0	0	0	19	53	38
1560	0	0	0	0	0	18	54	36
1620	0	0	0	0	0	17	55	34
1680	0	0	0	0	0	16	56	32
1740	0	0	0	0	0	15	57	30
1800	0	0	0	0	0	13	59	26
1860	0	0	0	0	0	12	60	24
1920	0	0	0	0	0	12	60	24
1980	0	0	0	0	0	11	61	22
2040	0	0	0	0	0	10	62	20
2100	0	0	0	0	0	10	62	20
2160	0	0	0	0	0	7	65	14
2220	0	0	0	0	0	6	66	12
2280	0	0	0	0	0	5	67	10
2340	0	0	0	0	0	4	68	8
2400	0	0	0	0	0	3	69	6
2460	0	0	0	0	0	3	69	6
2520	0	0	0	0	0	3	69	6
2580	0	0	0	0	0	3	69	6
2640	0	0	0	0	0	3	69	6
2700	0	0	0	0	0	3	69	6
2760	0	0	0	0	0	3	69	6
2820	0	0	0	0	0	2	70	4
2880	0	0	0	0	0	2	70	4
2940	0	0	0	0	0	2	70	4
3000	0	0	0	0	0	2	70	4
3060	0	0	0	0	0	2	70	4
3120	0	0	0	0	0	2	70	4
3180	0	0	0	0	0	2	70	4
3240	0	0	0	0	0	2	70	4
3300	0	0	0	0	0	2	70	4
3360	0	0	0	0	0	2	70	4
3420	0	0	0	0	0	2	70	4
3480	0	0	0	0	0	2	70	4
3540	0	0	0	0	0	1	71	2
3600	0	0	0	0	0	1	71	2
4200	0	0	0	0	0	1	71	2
4800	0	0	0	0	0	1	71	2
5400	0	0	0	0	0	0	72	0
6000	0	0	0	0	0	0	72	0
6600	0	0	0	0	0	0	72	0
7200	0	0	0	0	0	0	72	0
7800	0	0	0	0	0	0	72	0
8400	0	0	0	0	0	0	72	0
9000	0	0	0	0	0	0	72	0
9600	0	0	0	0	0	0	72	0
10200	0	0	0	0	0	0	72	0
10800	0	0	0	0	0	0	72	0
11400	0	0	0	0	0	0	72	0
12000	0	0	0	0	0	0	72	0
12600	0	0	0	0	0	0	72	0
13200	0	0	0	0	0	0	72	0
13800	0	0	0	0	0	0	72	0
14400	0	0	0	0	0	0	72	0
15000	0	0	0	0	0	0	72	0
15600	0	0	0	0	0	0	72	0
16200	0	0	0	0	0	0	72	0
16800	0	0	0	0	0	0	72	0
17400	0	0	0	0	0	0	72	0
18000	0	0	0	0	0	0	72	0
18600	0	0	0	0	0	0	72	0
19200	0	0	0	0	0	0	72	0
19800	0	0	0	0	0	0	72	0
20400	0	0	0	0	0	0	72	0
21000	0	0	0	0	0	0	72	0
21600	0	0	0	0	0	0	72	0
22200	0	0	0	0	0	0	72	0
22800	0	0	0	0	0	0	72	0
23400	0	0	0	0	0	0	72	0
24000	0	0	0	0	0	0	72	0
24600	0	0	0	0	0	0	72	0
25200	0	0	0	0	0	0	72	0
25800	0	0	0	0	0	0	72	0
26400	0	0	0	0	0	0	72	0
27000	0	0	0	0	0	0	72	0
27600	0	0	0	0	0	0	72	0
28200	0	0	0	0	0	0	72	0
28800	0	0	0	0	0	0	72	0
29400	0	0	0	0	0	0	72	0
30000	0	0	0	0	0	0	72	0
30600	0	0	0	0	0	0	72	0
31200	0	0	0	0	0	0	72	0
31800	0	0	0	0	0	0	72	0
32400	0	0	0	0	0	0	72	0
33000	0	0	0	0	0	0	72	0
33600	0	0	0	0	0	0	72	0
34200	0	0	0	0	0	0	72	0
34800	0	0	0	0	0	0	72	0
35400	0	0	0	0	0	0	72	0
36000	0	0	0	0	0	0	72	0
36600	0	0	0	0	0	0	72	0
37200	0	0	0	0	0	0	72	0
37800	0	0	0	0	0	0	72	0
38400	0	0	0	0	0	0	72	0
39000	0	0	0	0	0	0	72	0
39600	0	0	0	0	0	0	72	0
40200	0	0	0	0	0	0	72	0
40800	0	0	0	0	0	0	72	0
41400	0	0	0	0	0	0	72	0
42000	0	0	0	0	0	0	72	0
42600	0	0	0	0	0	0	72	0
43200	0	0	0	0	0	0	72	0
43800	0	0	0	0	0	0	72	0
44400	0	0	0	0	0	0	72	0
45000	0	0	0	0	0	0	72	0
45600	0	0	0	0	0	0	72	0
46200	0	0	0	0	0	0	72	0
46800	0	0	0	0	0	0	72	0
47400	0	0	0	0	0	0	72	0
48000	0	0	0	0	0	0	72	0
48600	0	0	0	0	0	0	72	0
49200	0	0	0	0	0	0	72	0
49800	0	0	0	0	0	0	72	0
50400	0	0	0	0	0	0	72	0
51000	0	0	0	0	0	0	72	0
51600	0	0	0	0	0	0	72	0
52200	0	0	0	0	0	0	72	0
52800	0	0	0	0	0	0	72	0
53400	0	0	0	0	0	0	72	0
54000	0	0	0	0	0	0	72	0
54600	0	0	0	0	0	0	72	0
55200	0	0	0	0	0	0	72	0
55800	0	0	0	0	0	0	72	0
56400	0	0	0	0	0	0	72	0
57000	0	0	0	0	0	0	72	0
57600	0	0	0	0	0	0	72	0
58200	0	0	0	0	0	0	72	0
58800	0	0	0	0	0	0	72	0
59400	0	0	0	0	0	0	72	0
60000	0	0	0	0	0	0	72	0
60600	0	0	0	0	0	0	72	0
61200	0	0	0	0	0	0	72	0
61800	0	0	0	0	0	0	72	0
62400	0	0	0	0	0	0	72	0
63000	0	0	0	0	0	0	72	0
63600	0	0	0	0	0	0	72	0
64200	0	0	0	0	0	0	72	0
64800	0	0	0	0	0	0	72	0
65400	0	0	0	0	0	0	72	0
66000	0	0	0	0	0	0	72	0
66600	0	0	0	0	0	0	72	0
67200	0	0	0	0	0	0	72	0
67800	0	0	0	0	0	0	72	0
68400	0	0	0	0	0	0	72	0
69000	0	0	0	0	0	0	72	0
69600	0	0	0	0	0	0	72	0
70200	0	0	0	0	0	0	72	0
70800	0	0	0	0	0	0	72	0
71400	0	0	0	0	0	0	72	0
72000	0	0	0	0	0	0	72	0
72600	0	0	0	0	0	0	72	0
73200	0	0	0	0	0	0	72	0
73800	0	0	0	0	0	0	72	0
74400	0	0	0	0	0	0	72	0
75000	0	0	0	0	0	0	72	0
75600	0	0	0	0	0	0	72	0
76200	0	0	0	0	0	0	72	0
76800	0	0	0	0	0	0	72	0
77400	0	0	0	0	0	0	72	0
78000	0	0	0	0	0	0	72	0
78600	0	0	0	0	0	0	72	0
79200	0	0	0	0	0	0	72	0
79800	0	0	0	0	0	0	72	0
80400	0	0	0	0	0	0	72	0
81000	0	0	0	0	0	0	72	0
81600	0	0	0	0	0	0	72	0
82200	0	0	0	0	0	0	72	0
82800	0	0	0	0	0	0	72	0
83400	0	0	0	0	0	0	72	0
84000	0	0	0	0	0	0	72	0
84600	0	0	0	0	0	0	72	0
85200	0	0	0	0	0	0	72	0
85800	0	0	0	0	0	0	72	0
86400	0	0	0	0	0	0	72	0


#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	162	0	0	0	0	0	0	162
1	19	79	34	0	15	0	0	162
2	12	74	26	0	25	0	0	162
3	10	64	23	1	32	0	0	162
4	10	58	12	0	41	0	0	162
5	8	55	7	0	46	0	0	162
6	8	48	7	1	49	0	0	162
7	8	43	7	0	52	0	0	162
8	4	38	11	1	54	0	0	162
9	7	33	8	0	57	0	0	162
10	4	30	7	1	59	1	0	162
11	4	30	5	1	60	1	0	162
12	3	28	5	2	61	1	0	162
13	2	25	8	1	62	1	0	162
14	3	22	5	2	64	1	0	162
15	6	17	4	3	64	2	0	162
16	5	16	5	2	65	2	0	162
17	3	16	1	2	68	2	0	162
18	2	15	2	1	69	2	0	162
19	3	13	1	1	70	2	0	162
20	2	11	3	2	70	2	0	162
21	2	10	2	2	70	3	0	162
22	0	9	0	1	72	4	0	162
23	1	8	0	1	72	4	0	162
24	0	9	0	1	72	4	0	162
25	3	6	0	1	72	4	0	162
26	4	5	0	1	72	4	0	162
27	1	11	1	1	70	4	0	162
28	1	9	3	1	70	4	0	162
29	2	5	3	0	72	4	0	162
30	2	7	2	1	71	4	0	162
31	2	8	1	1	71	4	0	162
32	1	7	3	1	71	4	0	162
33	1	9	1	1	71	4	0	162
34	0	9	1	0	72	4	0	162
35	2	8	2	0	70	5	0	162
36	3	8	1	0	70	5	0	162
37	1	6	4	1	69	6	0	162
38	2	4	3	1	70	6	0	162
39	0	4	2	2	71	6	0	162
40	1	2	4	1	70	7	0	162
41	1	1	2	2	70	8	0	162
42	2	4	2	2	67	9	0	162
43	2	3	4	1	67	9	0	162
44	0	4	2	0	69	9	0	162
45	0	3	1	0	70	9	0	162
46	1	2	1	0	69	10	0	162
47	0	3	3	0	68	10	0	162
48	2	3	2	1	67	10	0	162
49	3	4	3	2	65	10	0	162
50	1	5	3	1	65	11	0	162
51	0	6	0	0	67	11	0	162
52	1	4	1	0	67	11	0	162
53	1	4	1	0	67	11	0	162
54	0	6	2	0	66	11	0	162
55	2	2	3	1	66	11	0	162
56	0	3	1	2	67	11	0	162
57	0	5	0	1	67	11	0	162
58	0	4	1	1	67	11	0	162
59	1	3	1	1	67	11	0	162
60	0	3	1	2	67	11	0	162
70	0	7	1	4	63	12	0	162
