#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	232	0	0	0	0	0	0	232
1	50	92	57	11	11	0	0	232
2	16	101	37	10	34	0	0	232
3	12	97	21	18	41	1	0	232
4	10	89	15	20	48	1	0	232
5	8	81	12	21	54	1	0	232
6	6	72	10	18	62	1	0	232
7	9	60	14	25	61	1	0	232
8	8	55	9	24	66	2	0	232
9	6	50	10	28	66	3	0	232
10	7	42	12	31	66	4	0	232
11	7	35	3	31	73	5	0	232
12	6	35	2	33	73	5	0	232
13	3	36	4	33	72	6	0	232
14	5	32	4	29	75	6	0	232
15	6	29	3	28	77	6	0	232
16	4	27	7	28	77	6	0	232
17	6	24	2	34	77	6	0	232
18	4	23	5	34	77	6	0	232
19	1	21	6	32	80	5	1	230
20	5	18	4	31	81	5	1	230
21	3	18	5	30	82	5	1	230
22	0	20	2	28	85	5	1	230
23	2	16	2	26	87	5	1	230
24	4	13	0	27	88	5	1	230
25	4	11	5	28	85	6	1	230
26	4	12	3	29	85	6	1	230
27	1	11	6	30	85	6	1	230
28	3	10	2	35	84	6	1	230
29	1	10	2	33	85	7	1	230
30	0	9	4	31	86	7	1	230
31	2	9	2	33	84	8	1	230
32	1	10	2	33	83	9	1	230
33	1	12	1	32	82	10	1	230
34	4	10	1	31	82	10	1	230
35	1	14	1	30	82	10	1	230
36	4	10	2	30	82	10	1	230
37	2	11	2	31	82	10	1	230
38	2	10	0	30	84	10	1	230
39	2	11	1	30	83	10	1	230
40	4	10	1	31	82	10	1	230
41	0	13	1	32	82	10	1	230
42	4	11	0	29	82	11	1	230
43	2	10	2	30	82	11	1	230
44	1	11	2	32	79	13	1	230
45	3	11	1	31	79	13	1	230
46	1	14	1	32	77	14	1	230
47	2	11	1	32	78	14	1	230
48	2	9	1	32	79	14	1	230
49	0	10	1	33	79	14	1	230
50	0	9	1	30	80	15	1	230
51	0	10	2	30	79	15	1	230
52	0	9	2	29	80	15	1	230
53	2	8	3	29	78	16	1	230
54	4	8	2	30	77	16	1	230
55	3	8	1	32	77	16	1	230
56	3	8	3	32	76	16	1	230
57	3	8	2	33	74	18	1	230
58	1	9	2	30	74	20	1	230
59	1	9	1	29	75	20	1	230
60	3	7	0	28	75	21	1	230
70	1	8	0	27	68	28	2	228
80	1	6	5	32	62	29	3	226
90	1	3	1	29	63	32	4	224
100	0	6	1	31	58	34	5	222
110	0	9	1	30	56	35	5	222
120	3	5	0	32	54	37	5	222
130	0	9	1	34	51	38	5	222
140	2	4	1	35	50	40	5	222
150	0	5	3	30	49	43	5	222
160	0	4	2	32	47	45	5	222
170	0	4	2	34	45	44	7	218
180	0	3	0	33	44	47	7	218
190	1	1	0	34	42	49	7	218
200	0	1	3	34	38	52	7	218
210	0	1	0	33	39	53	7	218
220	0	3	0	31	36	55	8	216
