#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	372	0	0	0	0	0	0	372
1	60	161	79	54	9	0	0	372
2	29	164	59	76	22	0	0	372
3	21	152	38	87	37	0	0	372
4	16	138	32	88	49	0	0	372
5	23	120	24	87	59	0	0	372
6	13	113	27	87	66	0	0	372
7	12	102	21	87	75	0	0	372
8	11	91	18	86	82	1	0	372
9	5	88	16	81	90	1	0	372
10	4	79	14	75	98	2	0	372
11	9	66	11	66	107	3	0	372
12	5	59	9	63	115	3	0	372
13	10	51	7	60	119	3	0	372
14	10	47	5	56	123	4	0	372
15	3	48	5	52	126	6	0	372
16	6	42	4	46	131	6	0	372
17	6	40	7	47	130	6	0	372
18	7	36	5	48	132	6	0	372
19	7	34	3	44	136	6	0	372
20	5	30	5	42	138	7	0	372
21	1	34	5	40	139	7	0	372
22	6	29	7	40	138	7	0	372
23	2	31	3	40	141	7	0	372
24	7	24	4	43	140	7	0	372
25	3	25	6	38	143	7	0	372
26	4	25	3	36	145	7	0	372
27	9	26	3	34	143	7	0	372
28	4	24	6	34	145	7	0	372
29	5	20	5	36	146	7	0	372
30	6	19	7	38	144	7	0	372
31	6	20	5	37	145	7	0	372
32	3	20	6	39	144	8	0	372
33	3	18	5	36	147	8	0	372
34	4	15	4	37	148	8	0	372
35	1	15	2	42	146	10	0	372
36	3	12	1	40	148	10	0	372
37	3	11	1	39	149	10	0	372
38	2	11	0	37	148	13	0	372
39	2	12	1	37	146	14	0	372
40	3	11	0	38	145	15	0	372
41	3	11	1	39	143	16	0	372
42	0	11	2	41	142	17	0	372
43	1	10	2	39	143	17	0	372
44	2	8	4	40	142	17	0	372
45	1	9	2	38	144	17	0	372
46	3	8	2	37	144	17	0	372
47	3	9	1	39	142	18	0	372
48	4	8	4	40	140	18	0	372
49	3	10	2	41	140	18	0	372
50	1	10	4	41	140	18	0	372
51	1	8	4	43	139	19	0	372
